2026-04-01T02:08:38.453Z
Mercury,Venus,Earth,Moon,Mars,Jupiter,Io,Ganymede,Europa,Callisto,Saturn,Uranus,Neptune,Pluto
4,95,323,692,722,1413,5760,5805,5980,6068,6472,17263,48035,108391
90
0.35975,-0.16792,0.23409
0.36999,-0.17535,0.21520
0.37911,-0.18226,0.19566
0.38712,-0.18862,0.17554
0.39399,-0.19442,0.15490
0.39971,-0.19966,0.13381
0.40426,-0.20431,0.11232
0.40764,-0.20837,0.09051
0.40982,-0.21183,0.06843
0.41081,-0.21466,0.04615
0.41059,-0.21687,0.02374
0.40916,-0.21844,0.00127
0.40652,-0.21936,-0.02122
0.40267,-0.21963,-0.04363
0.39760,-0.21923,-0.06591
0.39131,-0.21816,-0.08799
0.38381,-0.21642,-0.10980
0.37510,-0.21398,-0.13126
0.36518,-0.21086,-0.15231
0.35406,-0.20705,-0.17285
0.34175,-0.20254,-0.19281
0.32827,-0.19733,-0.21212
0.31362,-0.19143,-0.23067
0.29784,-0.18484,-0.24838
0.28095,-0.17756,-0.26516
0.26297,-0.16960,-0.28093
0.24395,-0.16096,-0.29557
0.22393,-0.15166,-0.30899
0.20296,-0.14171,-0.32110
0.18108,-0.13113,-0.33178
0.15837,-0.11994,-0.34092
0.13489,-0.10818,-0.34843
0.11074,-0.09587,-0.35419
0.08601,-0.08306,-0.35809
0.06080,-0.06979,-0.36002
0.03524,-0.05612,-0.35987
0.00947,-0.04212,-0.35755
-0.01635,-0.02785,-0.35296
-0.04207,-0.01340,-0.34603
-0.06749,0.00115,-0.33668
-0.09241,0.01569,-0.32488
-0.11662,0.03010,-0.31059
-0.13990,0.04428,-0.29382
-0.16201,0.05809,-0.27459
-0.18272,0.07139,-0.25299
-0.20178,0.08405,-0.22911
-0.21896,0.09593,-0.20310
-0.23405,0.10689,-0.17514
-0.24684,0.11680,-0.14547
-0.25717,0.12554,-0.11434
-0.26490,0.13301,-0.08207
-0.26994,0.13913,-0.04896
-0.27224,0.14383,-0.01535
-0.27179,0.14709,0.01841
-0.26863,0.14889,0.05199
-0.26284,0.14922,0.08506
-0.25454,0.14814,0.11733
-0.24388,0.14568,0.14850
-0.23103,0.14191,0.17835
-0.21619,0.13692,0.20666
-0.19955,0.13078,0.23325
-0.18132,0.12360,0.25799
-0.16171,0.11548,0.28076
-0.14093,0.10652,0.30149
-0.11917,0.09683,0.32014
-0.09661,0.08649,0.33666
-0.07345,0.07561,0.35107
-0.04984,0.06428,0.36336
-0.02594,0.05257,0.37358
-0.00190,0.04058,0.38175
0.02215,0.02838,0.38792
0.04609,0.01603,0.39216
0.06981,0.00360,0.39451
0.09321,-0.00884,0.39506
0.11619,-0.02125,0.39386
0.13868,-0.03357,0.39098
0.16060,-0.04575,0.38650
0.18189,-0.05774,0.38049
0.20248,-0.06952,0.37302
0.22232,-0.08103,0.36416
0.24135,-0.09225,0.35398
0.25954,-0.10315,0.34255
0.27684,-0.11369,0.32995
0.29321,-0.12385,0.31624
0.30862,-0.13361,0.30150
0.32304,-0.14294,0.28579
0.33644,-0.15183,0.26918
0.34879,-0.16024,0.25173
0.36008,-0.16816,0.23352
0.37028,-0.17557,0.21460
227
0.65861,-0.30072,-0.06894
0.65621,-0.30091,-0.08891
0.65331,-0.30086,-0.10881
0.64991,-0.30059,-0.12863
0.64601,-0.30008,-0.14835
0.64161,-0.29934,-0.16795
0.63672,-0.29837,-0.18743
0.63134,-0.29718,-0.20676
0.62548,-0.29575,-0.22593
0.61914,-0.29410,-0.24493
0.61232,-0.29222,-0.26375
0.60503,-0.29012,-0.28236
0.59728,-0.28779,-0.30075
0.58907,-0.28525,-0.31891
0.58041,-0.28248,-0.33683
0.57130,-0.27950,-0.35449
0.56176,-0.27631,-0.37188
0.55178,-0.27290,-0.38898
0.54138,-0.26928,-0.40579
0.53057,-0.26546,-0.42228
0.51935,-0.26143,-0.43845
0.50773,-0.25721,-0.45429
0.49573,-0.25278,-0.46977
0.48334,-0.24817,-0.48490
0.47058,-0.24336,-0.49966
0.45747,-0.23837,-0.51403
0.44400,-0.23319,-0.52801
0.43019,-0.22784,-0.54158
0.41605,-0.22231,-0.55474
0.40160,-0.21661,-0.56748
0.38683,-0.21074,-0.57978
0.37177,-0.20471,-0.59163
0.35643,-0.19853,-0.60303
0.34081,-0.19219,-0.61397
0.32493,-0.18571,-0.62444
0.30880,-0.17908,-0.63443
0.29243,-0.17232,-0.64393
0.27584,-0.16542,-0.65294
0.25904,-0.15840,-0.66145
0.24204,-0.15126,-0.66945
0.22485,-0.14400,-0.67693
0.20749,-0.13663,-0.68390
0.18998,-0.12915,-0.69034
0.17231,-0.12158,-0.69625
0.15451,-0.11391,-0.70163
0.13660,-0.10615,-0.70646
0.11858,-0.09832,-0.71076
0.10046,-0.09040,-0.71450
0.08227,-0.08242,-0.71770
0.06402,-0.07437,-0.72034
0.04572,-0.06627,-0.72243
0.02738,-0.05812,-0.72396
0.00902,-0.04992,-0.72494
-0.00934,-0.04168,-0.72535
-0.02770,-0.03341,-0.72521
-0.04604,-0.02512,-0.72451
-0.06434,-0.01680,-0.72324
-0.08259,-0.00847,-0.72142
-0.10078,-0.00014,-0.71904
-0.11889,0.00819,-0.71611
-0.13691,0.01652,-0.71262
-0.15482,0.02484,-0.70858
-0.17262,0.03313,-0.70399
-0.19028,0.04140,-0.69886
-0.20779,0.04964,-0.69318
-0.22514,0.05784,-0.68697
-0.24231,0.06600,-0.68022
-0.25930,0.07410,-0.67295
-0.27609,0.08215,-0.66515
